_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,variance_dict,UTT,max_variance,giving_feedback_classifier,giving_feedback_classifier_int,trip_nbr,trip_given_class,time_stamp,current_time,most_frequent
64e886274b6b0cea4cd242ea,1,3.8,2.7,2.9,3.1,2.3,"{'chatty_score': 0.9, 'safety_score': 0.5, 'punctuality_score': 0.4, 'friendliness_score': 0.9, 'comfortibility_score': 0.5}",10,0.9,chatty_score,1,7,"{'1': 'punctuality_score', '2': 'chatty_score', '3': 'chatty_score', '4': 'chatty_score', '5': 'chatty_score', '6': 'chatty_score', '7': 'chatty_score'}",2023-08-25 13:56:12.884,2023-08-25 15:11:02,1
64e88c754b6b0cea4cd25f2d,7236,3.8,4.1,4.3,3.3,3.5,"{'chatty_score': 0.1, 'safety_score': 1.7, 'punctuality_score': 1.2, 'friendliness_score': 0.0, 'comfortibility_score': 1.4}",30,1.7,safety_score,2,1,{'1': 'safety_score'},2023-08-25 13:56:13.460,,2
64e898e0a2cae17a1e26f952,102890,4.2,3.4,3.3,4.3,3.5,"{'chatty_score': 2.5, 'safety_score': 0.2, 'punctuality_score': 0.8, 'friendliness_score': 2.4, 'comfortibility_score': 0.2}",30,2.5,chatty_score,1,2,"{'1': 'chatty_score', '2': 'chatty_score'}",2023-08-25 13:56:13.915,2023-08-25 14:32:15,1
64e8866c4b6b0cea4cd24417,302,4.3,4.4,3.7,4.0,4.2,"{'chatty_score': 0.9, 'safety_score': 0.5, 'punctuality_score': 0.4, 'friendliness_score': 0.8, 'comfortibility_score': 0.5}",10,0.9,chatty_score,1,6,"{'1': 'safety_score', '2': 'comfortibility_score', '3': 'chatty_score', '4': 'chatty_score', '5': 'chatty_score', '6': 'chatty_score'}",2023-08-25 14:03:55.275,2023-08-26 18:10:24,1
64e8a112a2cae17a1e27216c,113156,3.0,3.6,4.0,3.2,3.7,"{'chatty_score': 0.1, 'safety_score': 0.4, 'punctuality_score': 0.1, 'friendliness_score': 0.1, 'comfortibility_score': 0.1}",10,0.4,safety_score,2,1,{'1': 'safety_score'},2023-08-25 14:03:55.773,,2
64e889a14b6b0cea4cd25234,3915,2.0,3.2,2.4,2.4,2.3,"{'chatty_score': 0.4, 'safety_score': 0.1, 'punctuality_score': 0.1, 'friendliness_score': 0.3, 'comfortibility_score': 0.8}",30,0.8,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 14:32:15.007,,5
64e88e814b6b0cea4cd26941,9816,3.1,2.4,2.1,2.9,3.0,"{'chatty_score': 0.1, 'safety_score': 0.6, 'punctuality_score': 0.7, 'friendliness_score': 0.2, 'comfortibility_score': 0.2}",25,0.7,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 14:32:56.374,,3
64e8923e4b6b0cea4cd27ba3,14522,4.0,3.2,3.9,3.8,3.0,"{'chatty_score': 1.4, 'safety_score': 0.1, 'punctuality_score': 0.5, 'friendliness_score': 1.3, 'comfortibility_score': 0.1}",15,1.4,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 14:32:56.828,,1
64e896daa2cae17a1e26ef62,100346,2.5,3.5,3.0,3.1,2.8,"{'chatty_score': 0.3, 'safety_score': 0.7, 'punctuality_score': 0.1, 'friendliness_score': 0.1, 'comfortibility_score': 0.9}",20,0.9,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 14:32:57.283,,5
64e88d2f4b6b0cea4cd262c0,8151,3.8,3.3,3.0,3.4,3.3,"{'chatty_score': 0.4, 'safety_score': 0.6, 'punctuality_score': 0.2, 'friendliness_score': 0.4, 'comfortibility_score': 0.1}",10,0.6,safety_score,2,1,{'1': 'safety_score'},2023-08-25 14:56:17.555,,2
64e89826a2cae17a1e26f5c2,101978,1.9,3.6,2.5,2.3,3.0,"{'chatty_score': 0.4, 'safety_score': 0.4, 'punctuality_score': 0.4, 'friendliness_score': 0.8, 'comfortibility_score': 0.1}",30,0.8,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 14:56:18.028,,4
64e888114b6b0cea4cd24b51,2152,2.0,2.2,2.2,2.2,2.7,"{'chatty_score': 0.1, 'safety_score': 0.3, 'punctuality_score': 0.1, 'friendliness_score': 0.1, 'comfortibility_score': 0.2}",10,0.3,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:03:47.563,,2
64e898e4a2cae17a1e26f966,102910,3.3,3.5,3.4,3.7,3.6,"{'chatty_score': 0.1, 'safety_score': 0.4, 'punctuality_score': 0.1, 'friendliness_score': 0.1, 'comfortibility_score': 0.0}",20,0.4,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:03:48.020,,2
64e886624b6b0cea4cd243e8,255,3.1,3.2,2.5,2.9,2.9,"{'chatty_score': 0.9, 'safety_score': 0.7, 'punctuality_score': 0.9, 'friendliness_score': 0.8, 'comfortibility_score': 1.0}",15,1.0,comfortibility_score,5,6,"{'1': 'chatty_score', '2': 'punctuality_score', '3': 'comfortibility_score', '4': 'chatty_score', '5': 'comfortibility_score', '6': 'comfortibility_score'}",2023-08-25 15:11:02.546,2023-08-26 17:00:33,5
64e89a18a2cae17a1e26ff49,104417,3.5,2.4,3.2,3.9,2.5,"{'chatty_score': 0.1, 'safety_score': 0.2, 'punctuality_score': 0.5, 'friendliness_score': 0.1, 'comfortibility_score': 0.8}",15,0.8,comfortibility_score,5,1,{'1': 'comfortibility_score'},2023-08-25 15:11:03.067,,5
64e886284b6b0cea4cd242eb,2,3.0,2.1,1.9,2.3,2.1,"{'chatty_score': 0.7, 'safety_score': 0.8, 'punctuality_score': 0.3, 'friendliness_score': 0.6, 'comfortibility_score': 0.8}",10,0.8,safety_score,2,4,"{'1': 'friendliness_score', '2': 'comfortibility_score', '3': 'comfortibility_score', '4': 'safety_score'}",2023-08-25 15:16:54.881,2023-08-25 15:42:44,5
64e88b904b6b0cea4cd25ac8,6111,3.1,3.5,3.3,2.9,3.5,"{'chatty_score': 0.1, 'safety_score': 0.0, 'punctuality_score': 0.0, 'friendliness_score': 0.1, 'comfortibility_score': 0.1}",10,0.1,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 15:16:55.333,,1
64e89a23a2cae17a1e26ff7f,104471,3.7,4.0,2.8,3.6,3.8,"{'chatty_score': 0.6, 'safety_score': 0.3, 'punctuality_score': 1.3, 'friendliness_score': 0.3, 'comfortibility_score': 0.1}",30,1.3,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 15:16:55.793,,3
64e88c044b6b0cea4cd25cfd,6676,3.4,2.4,2.4,3.1,2.8,"{'chatty_score': 0.1, 'safety_score': 0.0, 'punctuality_score': 0.1, 'friendliness_score': 0.0, 'comfortibility_score': 0.0}",25,0.1,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 15:33:48.779,,1
64e89dbba2cae17a1e271111,108969,3.2,4.3,4.0,3.4,3.7,"{'chatty_score': 0.4, 'safety_score': 0.7, 'punctuality_score': 0.8, 'friendliness_score': 0.4, 'comfortibility_score': 0.1}",15,0.8,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 15:33:49.243,,3
64e88a494b6b0cea4cd25512,4649,2.8,3.7,3.8,3.3,3.1,"{'chatty_score': 0.1, 'safety_score': 0.2, 'punctuality_score': 0.2, 'friendliness_score': 0.5, 'comfortibility_score': 0.1}",20,0.5,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 15:42:25.972,,4
64e89a2fa2cae17a1e26ffbb,104531,2.7,2.8,3.4,3.0,2.6,"{'chatty_score': 0.1, 'safety_score': 0.4, 'punctuality_score': 0.0, 'friendliness_score': 0.2, 'comfortibility_score': 0.1}",20,0.4,safety_score,2,1,{'1': 'safety_score'},2023-08-25 15:42:26.437,,2
