_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,ratings_got_dict,UTT,max_rating_with_variance,got_feedback_classifier,got_feedback_classifier_int,trip_nbr,trip_got_class,time_stamp,most_frequent
64e886274b6b0cea4cd242ea,1,3.8,2.7,2.9,3.1,2.3,"{'chatty_score': 31.669999999999998, 'safety_score': 18.529999999999998, 'punctuality_score': 18.11, 'friendliness_score': 29.630000000000003, 'comfortibility_score': 16.36}",10,31.669999999999998,chatty_score,1,7,"{'1': 'chatty_score', '2': 'chatty_score', '3': 'chatty_score', '4': 'chatty_score', '5': 'chatty_score', '6': 'chatty_score', '7': 'chatty_score'}",2023-08-25 15:11:04.833,1
64e88c754b6b0cea4cd25f2d,7236,3.8,4.1,4.3,3.3,3.5,"{'chatty_score': 2.9900000000000007, 'safety_score': 0.32, 'punctuality_score': 3.4800000000000004, 'friendliness_score': 2.2399999999999998, 'comfortibility_score': 0.8400000000000001}",30,3.4800000000000004,punctuality_score,3,1,{'1': 'punctuality_score'},2023-08-25 13:56:15.308,3
64e898e0a2cae17a1e26f952,102890,4.2,3.4,3.3,4.3,3.5,"{'chatty_score': 8.67, 'safety_score': 3.3899999999999997, 'punctuality_score': 4.25, 'friendliness_score': 6.710000000000001, 'comfortibility_score': 5.42}",30,8.67,chatty_score,1,2,"{'1': 'comfortibility_score', '2': 'chatty_score'}",2023-08-25 14:32:18.052,5
64e8866c4b6b0cea4cd24417,302,4.3,4.4,3.7,4.0,4.2,"{'chatty_score': 29.300000000000004, 'safety_score': 22.230000000000004, 'punctuality_score': 18.37, 'friendliness_score': 33.459999999999994, 'comfortibility_score': 25.009999999999998}",10,33.459999999999994,friendliness_score,4,6,"{'1': 'chatty_score', '2': 'chatty_score', '3': 'friendliness_score', '4': 'friendliness_score', '5': 'friendliness_score', '6': 'friendliness_score'}",2023-08-26 18:10:28.240,4
64e8a112a2cae17a1e27216c,113156,3.0,3.6,4.0,3.2,3.7,"{'chatty_score': 2.04, 'safety_score': 1.64, 'punctuality_score': 1.1600000000000001, 'friendliness_score': 1.82, 'comfortibility_score': 0.5}",10,2.04,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 14:03:57.850,1
64e889a14b6b0cea4cd25234,3915,2.0,3.2,2.4,2.4,2.3,"{'chatty_score': 13.3, 'safety_score': 2.02, 'punctuality_score': 4.6899999999999995, 'friendliness_score': 11.92, 'comfortibility_score': 0.8200000000000001}",30,13.3,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 14:32:17.250,1
64e88e814b6b0cea4cd26941,9816,3.1,2.4,2.1,2.9,3.0,"{'chatty_score': 7.7299999999999995, 'safety_score': 2.9499999999999997, 'punctuality_score': 2.6100000000000003, 'friendliness_score': 6.86, 'comfortibility_score': 2.99}",25,7.7299999999999995,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 14:32:59.227,1
64e8923e4b6b0cea4cd27ba3,14522,4.0,3.2,3.9,3.8,3.0,"{'chatty_score': 2.97, 'safety_score': 4.609999999999999, 'punctuality_score': 1.95, 'friendliness_score': 2.37, 'comfortibility_score': 3.9400000000000004}",15,4.609999999999999,safety_score,2,1,{'1': 'safety_score'},2023-08-25 14:32:59.937,2
64e896daa2cae17a1e26ef62,100346,2.5,3.5,3.0,3.1,2.8,"{'chatty_score': 5.05, 'safety_score': 3.89, 'punctuality_score': 3.08, 'friendliness_score': 4.26, 'comfortibility_score': 2.38}",20,5.05,chatty_score,1,1,{'1': 'chatty_score'},2023-08-25 14:33:00.656,1
64e88d2f4b6b0cea4cd262c0,8151,3.8,3.3,3.0,3.4,3.3,"{'chatty_score': 2.1900000000000004, 'safety_score': 1.27, 'punctuality_score': 1.4, 'friendliness_score': 3.1900000000000004, 'comfortibility_score': 0.77}",10,3.1900000000000004,friendliness_score,4,1,{'1': 'friendliness_score'},2023-08-25 14:56:20.070,4
